COUNTRY,COUNTRY_GRP,AGE_GRP_4,SEX,YEAR,VALUE
MLT,,GTE65,ALL,2012,346.74
CHE,,GTE65,MALE,2012,290.26
CHE,,GTE65,ALL,2012,205.03
CHE,,GTE65,FEMALE,2011,148.77
CHE,,GTE65,MALE,2011,282.02
CHE,,GTE65,ALL,2011,200.05
CHE,,GTE65,FEMALE,2012,152.17
CHE,,GTE65,MALE,2004,363.17
CHE,,GTE65,MALE,2006,326.11
CHE,,GTE65,MALE,2007,318.97
CHE,,GTE65,MALE,1996,426.16
CHE,,GTE65,FEMALE,2006,157.9
CHE,,GTE65,FEMALE,2004,169.57
CHE,,GTE65,ALL,2002,261.91
CHE,,GTE65,ALL,2007,215.71
CHE,,GTE65,ALL,2010,202.59
CHE,,GTE65,ALL,2009,227.36
CHE,,GTE65,ALL,2001,249.64
CHE,,GTE65,ALL,2004,241.82
CHE,,GTE65,ALL,1997,322.08
CHE,,GTE65,ALL,2000,311.5
CHE,,GTE65,ALL,1995,279.29
CHE,,GTE65,ALL,2008,206.34
CHE,,GTE65,FEMALE,1997,222.21
CHE,,GTE65,FEMALE,1999,224.47
CHE,,GTE65,FEMALE,2008,150.48
CHE,,GTE65,FEMALE,2009,171.12
CHE,,GTE65,MALE,2002,386.51
AUT,,GTE65,FEMALE,2014,129.57
BEL,,GTE65,FEMALE,2013,294.03
BIH,,GTE65,FEMALE,2014,138.86
AUT,,GTE65,ALL,2014,180.55
AUT,,GTE65,MALE,2014,260.96
GEO,,GTE65,FEMALE,2014,119.37
GEO,,GTE65,FEMALE,2013,72.86
GEO,,GTE65,MALE,2013,167.02
GEO,,GTE65,ALL,2014,163.63
GEO,,GTE65,MALE,2014,235.76
GEO,,GTE65,ALL,2013,107.82
IRL,,GTE65,ALL,2012,513.97
IRL,,GTE65,FEMALE,2011,447.75
IRL,,GTE65,ALL,2011,518.61
IRL,,GTE65,MALE,2012,631.15
IRL,,GTE65,FEMALE,2012,437.38
IRL,,GTE65,MALE,2011,625.04
ISR,,GTE65,MALE,2013,330.19
ISR,,GTE65,ALL,2013,267.73
ISR,,GTE65,FEMALE,2013,221.54
KAZ,,GTE65,MALE,2011,626.52
KAZ,,GTE65,FEMALE,2011,232.74
KAZ,,GTE65,ALL,2011,373.86
MLT,,GTE65,MALE,2013,585.04
MLT,,GTE65,ALL,2013,401.81
MLT,,GTE65,MALE,2014,492.8
MLT,,GTE65,ALL,2014,354.88
MLT,,GTE65,FEMALE,2013,284.81
MLT,,GTE65,FEMALE,2014,259.21
CHE,,GTE65,FEMALE,2013,161.03
CHE,,GTE65,ALL,2013,211.97
CHE,,GTE65,MALE,2013,291.56
ALB,,GTE65,MALE,2005,306.38
ALB,,GTE65,MALE,2009,173.18
ALB,,GTE65,MALE,2008,200.09
ALB,,GTE65,ALL,2005,240.05
ALB,,GTE65,ALL,2007,173
ALB,,GTE65,FEMALE,2005,188.81
ALB,,GTE65,ALL,2006,190.08
ALB,,GTE65,MALE,2006,273.56
ALB,,GTE65,MALE,2007,250.04
ALB,,GTE65,FEMALE,2006,130.4
ALB,,GTE65,ALL,2009,130.92
ALB,,GTE65,ALL,2008,142.59
ALB,,GTE65,FEMALE,2007,118.39
ALB,,GTE65,FEMALE,2009,100.28
ALB,,GTE65,FEMALE,2008,97.53
ARM,,GTE65,MALE,2014,590.7
ARM,,GTE65,FEMALE,2014,365.56
ARM,,GTE65,ALL,2014,452.87
BIH,,GTE65,MALE,2014,297.3
BIH,,GTE65,ALL,2014,200.15
BLR,,GTE65,MALE,2010,331.77
BLR,,GTE65,ALL,2014,65.09
BLR,,GTE65,FEMALE,2013,25.36
BLR,,GTE65,ALL,2010,136.76
BLR,,GTE65,FEMALE,2014,21.46
BLR,,GTE65,MALE,2013,179.81
BLR,,GTE65,ALL,2013,73.52
BLR,,GTE65,FEMALE,2010,49.18
BLR,,GTE65,MALE,2014,161.79
BGR,,GTE65,FEMALE,2013,113.89
BGR,,GTE65,MALE,2013,263.67
BGR,,GTE65,ALL,2013,173.14
HRV,,GTE65,FEMALE,2014,139.37
HRV,,GTE65,MALE,2014,376.11
HRV,,GTE65,ALL,2014,222.22
CYP,,GTE65,ALL,2013,304.64
CYP,,GTE65,MALE,2013,382.16
CYP,,GTE65,FEMALE,2013,245.1
CZE,,GTE65,ALL,2014,269.28
CZE,,GTE65,MALE,2014,399.41
CZE,,GTE65,FEMALE,2014,190.05
DEU,,GTE65,ALL,2014,255.5
DEU,,GTE65,MALE,2014,359.13
DEU,,GTE65,FEMALE,2014,188.74
EST,,GTE65,MALE,2009,260.06
EST,,GTE65,FEMALE,2006,59.85
EST,,GTE65,FEMALE,2014,75.23
EST,,GTE65,FEMALE,2009,66.83
EST,,GTE65,ALL,2006,133.7
EST,,GTE65,ALL,2002,136.26
EST,,GTE65,ALL,2009,127.44
EST,,GTE65,FEMALE,2000,81.31
EST,,GTE65,FEMALE,2002,63.28
EST,,GTE65,MALE,2004,348.74
EST,,GTE65,MALE,2000,281.01
EST,,GTE65,FEMALE,2004,86.29
EST,,GTE65,FEMALE,2011,56.1
EST,,GTE65,ALL,2005,135.23
EST,,GTE65,ALL,2011,113.41
EST,,GTE65,FEMALE,2008,70.59
EST,,GTE65,ALL,2014,155.39
EST,,GTE65,FEMALE,2013,74.11
EST,,GTE65,FEMALE,2007,71.57
EST,,GTE65,FEMALE,2003,81.34
EST,,GTE65,MALE,2005,292.05
EST,,GTE65,MALE,2003,338.37
EST,,GTE65,ALL,2004,165.07
EST,,GTE65,FEMALE,2001,66.12
EST,,GTE65,ALL,2001,130.52
EST,,GTE65,ALL,2008,136.58
EST,,GTE65,ALL,2000,146.6
EST,,GTE65,ALL,2013,146.81
EST,,GTE65,FEMALE,2010,70.39
EST,,GTE65,ALL,2003,162.13
EST,,GTE65,MALE,2002,296.43
EST,,GTE65,MALE,2011,250.53
EST,,GTE65,ALL,2007,131.49
EST,,GTE65,MALE,2010,243.6
EST,,GTE65,ALL,2010,121.9
EST,,GTE65,MALE,2006,295.19
EST,,GTE65,MALE,2001,270.76
EST,,GTE65,MALE,2008,293.43
EST,,GTE65,FEMALE,2005,68.54
EST,,GTE65,MALE,2013,312.95
EST,,GTE65,MALE,2007,276.74
EST,,GTE65,MALE,2014,334.83
FIN,,GTE65,MALE,2014,220.39
FIN,,GTE65,FEMALE,2014,82.63
FIN,,GTE65,ALL,2014,135.88
FRA,,GTE65,MALE,2013,292.68
FRA,,GTE65,ALL,2013,204.65
FRA,,GTE65,FEMALE,2013,149.41
FRA,,GTE65,MALE,2012,306.5
FRA,,GTE65,ALL,2012,216.41
FRA,,GTE65,FEMALE,2012,160.11
HUN,,GTE65,MALE,2014,430.81
HUN,,GTE65,ALL,2014,278.45
HUN,,GTE65,FEMALE,2014,197.37
IRL,,GTE65,ALL,2013,500.02
IRL,,GTE65,FEMALE,2013,425.16
IRL,,GTE65,MALE,2013,616.04
KAZ,,GTE65,MALE,2013,1450.59
KAZ,,GTE65,FEMALE,2013,755.35
KAZ,,GTE65,ALL,2014,1023.41
KAZ,,GTE65,MALE,2015,1673.4
KAZ,,GTE65,FEMALE,2015,858.08
KAZ,,GTE65,FEMALE,2014,777.59
KAZ,,GTE65,ALL,2013,994.37
KAZ,,GTE65,ALL,2015,1135.19
KAZ,,GTE65,MALE,2014,1490.56
DNK,,GTE65,ALL,2007,507.94
DNK,,GTE65,MALE,2009,631.35
DNK,,GTE65,MALE,2010,585.16
DNK,,GTE65,MALE,2008,615.28
DNK,,GTE65,FEMALE,2009,463.01
DNK,,GTE65,FEMALE,2007,467.38
DNK,,GTE65,FEMALE,2010,446.94
DNK,,GTE65,FEMALE,2008,438.07
DNK,,GTE65,ALL,2009,524.61
DNK,,GTE65,ALL,2010,496.93
DNK,,GTE65,ALL,2008,502.25
DNK,,GTE65,MALE,2007,589.13
LTU,,GTE65,MALE,2013,354.53
LTU,,GTE65,ALL,2014,140.16
LTU,,GTE65,MALE,2014,295.61
LTU,,GTE65,ALL,2013,172
LTU,,GTE65,FEMALE,2013,87.43
LTU,,GTE65,FEMALE,2014,68.3
LUX,,GTE65,FEMALE,2014,194.04
LUX,,GTE65,ALL,2014,232.97
LUX,,GTE65,MALE,2014,308.54
LVA,,GTE65,FEMALE,2013,69.89
LVA,,GTE65,ALL,2013,123.65
LVA,,GTE65,FEMALE,2014,54.51
LVA,,GTE65,ALL,2014,113.74
LVA,,GTE65,MALE,2013,236.77
LVA,,GTE65,MALE,2014,243.02
MDA,,GTE65,FEMALE,2014,123.55
MDA,,GTE65,ALL,2014,209.84
MDA,,GTE65,MALE,2014,358.33
NOR,,GTE65,FEMALE,2014,284.44
NOR,,GTE65,MALE,2014,436.71
NOR,,GTE65,ALL,2014,344.24
POL,,GTE65,ALL,2011,261.49
POL,,GTE65,MALE,2012,427.96
POL,,GTE65,ALL,2014,249.97
POL,,GTE65,MALE,2010,435.91
POL,,GTE65,MALE,2014,399.95
POL,,GTE65,ALL,2010,260.77
POL,,GTE65,FEMALE,2012,171.64
POL,,GTE65,MALE,2011,437.12
POL,,GTE65,ALL,2012,260.75
POL,,GTE65,FEMALE,2011,166.82
POL,,GTE65,FEMALE,2010,167.65
POL,,GTE65,FEMALE,2014,168.85
POL,,GTE65,ALL,2013,288.25
POL,,GTE65,MALE,2013,460.36
ESP,,GTE65,MALE,2014,515.71
ESP,,GTE65,ALL,2014,341.32
ESP,,GTE65,FEMALE,2014,226.29
SRB,,GTE65,FEMALE,2014,219.22
SRB,,GTE65,ALL,2014,292.35
SRB,,GTE65,MALE,2014,399.67
SVK,,GTE65,ALL,2001,363.87
SVK,,GTE65,FEMALE,2003,301.31
SVK,,GTE65,MALE,2013,476.02
SVK,,GTE65,MALE,2004,568.11
SVK,,GTE65,MALE,2001,543.56
SVK,,GTE65,FEMALE,2005,267.24
SVK,,GTE65,FEMALE,2001,263.27
SVK,,GTE65,ALL,2005,374.36
SVK,,GTE65,FEMALE,2012,215.39
SVK,,GTE65,ALL,2002,386.66
SVK,,GTE65,MALE,2000,554.64
SVK,,GTE65,MALE,2005,570.23
SVK,,GTE65,MALE,2014,438.34
SVK,,GTE65,ALL,2003,409.26
SVK,,GTE65,MALE,2012,512.31
SVK,,GTE65,ALL,2012,318.51
SVK,,GTE65,ALL,2000,380.04
SVK,,GTE65,ALL,2004,366.5
SVK,,GTE65,MALE,2003,604.46
SVK,,GTE65,ALL,2013,301.99
SVK,,GTE65,FEMALE,2004,257.31
SVK,,GTE65,FEMALE,2013,209.79
SVK,,GTE65,ALL,2014,271.37
SVK,,GTE65,FEMALE,2000,280.19
SVK,,GTE65,FEMALE,2002,290.64
SVK,,GTE65,FEMALE,2014,181.66
SVK,,GTE65,MALE,2002,555.52
SWE,,GTE65,FEMALE,2014,194.39
SWE,,GTE65,MALE,2014,275.88
SWE,,GTE65,ALL,2014,225.91
TKM,,GTE65,FEMALE,2012,60.53
TKM,,GTE65,MALE,2012,94.83
TKM,,GTE65,ALL,2012,74.68
UKR,,GTE65,MALE,2014,238.72
UKR,,GTE65,ALL,2014,113.24
UKR,,GTE65,FEMALE,2014,53.36
UZB,,GTE65,FEMALE,2014,143.24
UZB,,GTE65,MALE,2014,212.36
UZB,,GTE65,ALL,2014,172.57
ALB,,GTE65,MALE,1992,694.5
